name,age,team,file
Tyler Herro  ,23  ,Miami Heat  ,Tyler_Herro
Al Horford  ,37  ,Boston Celtics  ,Al_Horford
"Ogugua ""OG"" Anunoby Jr.",26,New York Knicks,OG_Anunoby
Buddy Hield  ,30  ,Golden State Warriors  ,Buddy_Hield
Bam Adebayo  ,26  ,Miami Heat  ,Bam_Adebayo
Kyle Lowry  ,37  ,Philadelphia 76ers  ,Kyle_Lowry
D'Angelo Russell  ,27  ,Los Angeles Lakers  ,Angelo_Russell
Zach Collins  ,25  ,San Antonio Spurs  ,Zach_Collins
Giannis Antetokounmpo  ,29  ,Milwaukee Bucks  ,Giannis_Antetokounmpo
Jaden Ivey  ,21  ,Detroit Pistons  ,Jaden_Ivey
