name,age,team,draft_year,draft_pick,college,file
Jordan Crawford  , ,Sichuan Blue Whales  ,2010  ,27  ,Indiana University; Xavier University  ,Jordan_Crawford
Daniel Edward Anderson  , ,Portland Trail Blazers  ,1974  , , ,Dan_Anderson
Guy Rodgers  ,65  , ,1958  , ,Temple University  ,Guy_Rodgers
Carrick Felix  , , ,2013  ,33  ,Arizona State; College of Southern Idaho  ,Carrick_Felix
Trent Tucker  , , ,1982  ,6  ,University of Minnesota  ,Trent_Tucker
Donald Robert Anielak,,New York Knicks,1954,26th overall,Moberly Junior College; Southwest Missouri State University,Don_Anielak
Nate Huffman  , , , , ,Central Michigan University  ,Nate_Huffman
Tony Delk  , , ,1996  ,16  ,University of Kentucky  ,Tony_Delk
Isiah Thomas,,,1981,2,Indiana Hoosiers,Isiah_Thomas
Leroy Chollet  , , , , ,Loyola University New Orleans; Canisius College  ,Leroy_Chollet
Anthony Edwards,,Minnesota Timberwolves,2020,1,University of Georgia,Anthony_Edwards
Derek Grimm,,,,,University of Missouri,Derek_Grimm
Aaron Williams  , , , , ,Xavier University  ,Aaron_Williams
Ronald Moore,,,2010,,Siena,Ronald_Moore
Cal Ramsey,,,1959,13,NYU,Cal_Ramsey
