name,age,team,draft_year,draft_pick,college,file
Lavoy Allen  , , ,2011  ,50  ,Temple University  ,Lavoy_Allen
Derrick Chievous  , , ,1988  ,16  ,University of Missouri  ,Derrick_Chievous
Jarrett Matthew Jack,,Detroit Pistons,2005,22,Georgia Tech,Jarrett_Jack
Derek Grimm,,,,,University of Missouri,Derek_Grimm
Donald Robert Anielak,,New York Knicks,1954,26,Southwest Missouri State University,Don_Anielak
Shawn Respert  ,53  ,Los Angeles Lakers  ,1995  ,8  ,Michigan State  ,Shawn_Respert
Tony Delk  , , ,1996  ,16  ,University of Kentucky  ,Tony_Delk
John Lucas II  , ,Houston Rockets  ,1976  ,1  ,"University of Maryland, College Park  ",John_Lucas_II
Nate Huffman  , , , , ,Central Michigan University; Lansing Community College  ,Nate_Huffman
Cal Ramsey  , , ,1959  ,13  ,NYU  ,Cal_Ramsey
