name,age,team,draft_year,draft_pick,college,file
Jabari Walker  , ,Portland Trail Blazers  ,2022  ,57th overall pick  ,Colorado Buffaloes  ,Jabari_Walker
Shawn Respert  ,53  ,Los Angeles Lakers  ,1995  ,8  ,Michigan State  ,Shawn_Respert
Elmer Behnke  , ,Milwaukee Hawks  ,1951  ,35  ,Bradley University  ,Elmer_Behnke
Dick Surhoff,,,1952,,Long Island and John Marshall College,Dick_Surhoff
Tom Copa Thomas James Copa  , , , ,44th  ,Marquette  ,Tom_Copa
Donald Robert Anielak,,New York Knicks,1954,26th overall,Moberly Junior College; Southwest Missouri State University,Don_Anielak
Miles Simon  ,50  ,Phoenix Suns  , , ,University of Arizona  ,Miles_Simon
Trent Tucker  , , ,1982  ,6  ,University of Minnesota  ,Trent_Tucker
Erick Strickland,,,1996,,University of Nebraska,Erick_Strickland
Kevin Wayne Durant,35,Phoenix Suns,2007,2,Texas Longhorns,Kevin_Durant
"Kenneth ""Apple"" Green  ", ,New York Knicks  ,1981  ,11  ,Pan American University  ,Ken_Green
Askia Jones  , , , , ,Kansas State University  ,Askia_Jones
Phil Jackson  , , , , ,University of North Dakota  ,Phil_Jackson
Rodney Strickland,,,1988,,DePaul University,Rod_Strickland
Greg Fillmore,,New York Knicks,1970,,Cheyney University of Pennsylvania,Greg_Fillmore
John Lucas II  , , ,1976  ,1  ,"University of Maryland, College Park  ",John_Lucas_II
Jahlil Okafor  ,29  ,Capitanes de Arecibo  ,2015  ,3  ,Duke  ,Jahlil_Okafor
"Dewayne ""D. J."" White, Jr.",,,2008,29th,Indiana Hoosiers,D_J_White
Jim Brasco  , , ,1952  , ,New York University  ,Jim_Brasco
Nikola Radičević  , , ,2015  ,57  , ,Nikola_Radi
Drew Gordon  ,33  ,Philadelphia 76ers  ,2012  ,  ,UCLA Bruins; University of New Mexico  ,Drew_Gordon
Joseph Xavier Forte  , , ,2001  ,21  ,University of North Carolina at Chapel Hill  ,Joseph_Forte
Rick Hughes  , , , , ,Thomas More College  ,Rick_Hughes
Brandan Wright  , , ,2007  ,8  ,University of North Carolina at Chapel Hill  ,Brandan_Wright
Mychel Thompson  , , ,2011  , ,Pepperdine University  ,Mychel_Thompson_
