name,age,team,draft_year,draft_pick,college,file
Jamal Crawford,,,2000,8,University of Michigan,Jamal_Crawford
William Severlyn Hewitt,,,,,University of Southern California,Bill_Hewitt
Fran Curran,,Rochester Royals,,,University of Notre Dame,Fran_Curran
Askia Jones  , , , , ,Kansas State University  ,Askia_Jones
Tony Delk  , , ,1996  ,16  ,Kentucky Wildcats  ,Tony_Delk
Donald Robert Anielak,,New York Knicks,1954,26,Moberly Junior College; Southwest Missouri State University,Don_Anielak
Monti Davis,,,1980,21,Tennessee State University,Monti_Davis
Tom Copa Thomas James Copa  , , , , ,Marquette  ,Tom_Copa
Freddie L. Boyd,73,,1972,5,Oregon State University,Fred_Boyd
,,,,,,Larry_Robinson
"Kenneth ""Apple"" Green  ", ,New York Knicks  ,1981  ,11  ,Pan American University  ,Ken_Green
Carrick Felix  , , ,2013  ,33  ,Arizona State; College of Southern Idaho  ,Carrick_Felix
Phil Jackson  , , , , ,University of North Dakota  ,Phil_Jackson
Rod Strickland,59,,1988,,DePaul University,Rod_Strickland
Anthony Edwards,,Minnesota Timberwolves,2020,1,Georgia Bulldogs,Anthony_Edwards
Kevin Wayne Durant,,Phoenix Suns,2007,2,Texas Longhorns,Kevin_Durant
John Lucas II  , ,Houston Rockets  ,1976  ,1  ,"University of Maryland, College Park  ",John_Lucas_II
Erick Strickland  , , ,1996  , ,University of Nebraska  ,Erick_Strickland
Kermit Washington,,,1973,5,American University,Kermit_Washington
Nikola Radičević  , , ,2015  ,57  , ,Nikola_Radi
