name,age,team,file
Jordan Crawford  , , ,Jordan_Crawford
Daniel Edward Anderson  , , ,Dan_Anderson
Guy Rodgers  ,65  , ,Guy_Rodgers
Carrick Felix  , , ,Carrick_Felix
Trent Tucker  , , ,Trent_Tucker
Don Anielak,,,Don_Anielak
Nate Huffman  , , ,Nate_Huffman
Tony Delk  , , ,Tony_Delk
Isiah Thomas,,,Isiah_Thomas
Leroy Chollet,,,Leroy_Chollet
Anthony Edwards,,Minnesota Timberwolves,Anthony_Edwards
Derek Grimm,,,Derek_Grimm
Aaron Williams,,,Aaron_Williams
Ronald Moore  , ,Debreceni EAC  ,Ronald_Moore
Cal Ramsey,,,Cal_Ramsey
